"industry_code","industry_ubiquity","industry_complexity","industry_complexity_percentile"
"212290",8,1.04314919330655,84.9
"212311",32,-0.760448586561856,23.44
"212312",68,-1.32615295949884,4.75
"212313",23,0.607983145444683,75.4
"212319",36,0.108106967100545,61.88
"212321",75,-0.615397918807417,31.57
"212322",25,-0.211687629288742,50.16
"212323",16,0.386534200276971,70.12
"212390",31,-0.0702661757270604,54.91
"213111",26,-0.554354634235488,33.79
"213112",28,-0.228904777946717,49.21
"213113",19,-1.14242572517223,9.19
"213114",10,1.29711279907344,89.12
"213115",26,-0.606054415215987,31.89
"221111",34,-0.350653139552553,43.61
"221112",51,-1.0510285619141,11.72
"221113",26,-0.42579620905157,40.23
"221114",27,1.73381808000286,93.35
"221115",29,-0.155858524728306,51.74
"221116",5,0.0527124507642983,59.66
"221117",21,0.494570837457791,73.6
"221118",22,-0.287504714329932,46.88
"221121",43,-0.478694015269167,37.59
"221122",82,-0.685144481487174,27.88
"221210",54,-0.527982424129336,34.95
"221310",74,-0.620180220172029,31.47
"221320",53,-0.144866259974304,52.16
"221330",26,0.915667647046333,82.68
"236115",69,0.472279673181908,72.97
"236116",38,1.49281561881724,90.5
"236117",77,0.346266538900291,69.48
"236118",64,0.388726336735814,70.43
"236210",59,-0.896989989516923,17.63
"236220",76,-0.0415437417741451,56.6
"237110",66,0.0661794866932556,60.19
"237120",35,-0.713627652348106,25.34
"237130",65,-0.446364314352466,38.75
"237210",38,0.892864172526018,82.15
"237310",99,-0.392198111190255,41.82
"237990",53,-0.290519388514569,46.67
"238110",75,0.20344373673747,64.73
"238120",62,-0.0854233105513979,54.28
"238130",37,0.920965519493823,82.79
"238140",75,0.31954716535443,68.85
"238150",61,0.80339473420238,79.94
"238160",74,0.247531107612484,66.1
"238170",85,-0.567663391490551,33.16
"238190",65,0.0233319391768063,58.82
"238210",73,0.468235228429407,72.76
"238220",94,0.160837848603392,63.25
"238290",82,-0.666648532579743,28.83
"238310",59,0.612686552527097,75.71
"238320",51,1.17254138460365,87.75
"238330",62,0.933204648997699,82.89
"238340",53,1.17823128772484,87.96
"238350",65,0.592484555317164,75.29
"238390",57,0.652432182490483,76.56
"238910",102,-0.561009180569783,33.37
"238990",80,0.126822264930351,62.51
"311111",46,-1.22360830836408,6.76
"311119",69,-1.33882884039801,4.44
"311211",53,-0.659342037936267,29.36
"311212",11,-0.496975042372707,36.64
"311213",21,-0.69019649912378,27.56
"311221",16,-1.28306355324819,5.28
"311224",38,-1.42011797014053,2.64
"311225",30,-0.0221402056977125,57.02
"311230",26,0.0181065483813807,58.18
"311313",3,0.0724723051496478,60.61
"311314",12,1.49338490898245,90.6
"311340",36,-0.447943903393904,38.65
"311351",17,0.185680113153073,63.67
"311352",47,-0.289413993108582,46.78
"311411",21,-0.206177732033348,50.37
"311412",42,-0.705324966037583,26.29
"311421",53,-0.593946281680225,32.1
"311422",20,-0.513215381164194,35.69
"311423",22,0.394796872854133,70.75
"311511",59,-0.963194026508513,15.21
"311512",13,-0.423094876897791,40.55
"311513",35,-0.715432388167147,25.24
"311514",33,-1.11331123989702,9.82
"311520",30,0.0759795645994715,61.03
"311611",32,-1.28044124269105,5.39
"311612",53,-1.45009888136045,2.11
"311613",26,-0.533634896305504,34.74
"311615",34,-1.19500864293686,7.18
"311710",14,0.902142835378776,82.26
"311811",57,0.104780070989891,61.67
"311812",62,-0.295340157197991,46.36
"311813",26,0.626991483315459,76.14
"311821",44,-1.04343564774148,11.93
"311824",39,0.159169603961886,63.15
"311830",29,1.5532730822632,91.34
"311911",28,-0.0722229124564813,54.8
"311919",46,-0.859678164675304,19.32
"311920",42,0.0124924075682853,57.87
"311930",22,-0.0211975548217642,57.13
"311941",38,0.420785464376526,71.7
"311942",41,0.225144243680864,65.26
"311991",44,-0.432234292643268,39.39
"311999",39,-0.647783930214947,29.88
"312111",75,-0.29989042016719,46.04
"312112",59,-0.348339750044813,43.72
"312113",50,-0.510962601545495,35.8
"312120",63,-0.325832498843346,44.46
"312130",25,0.0498674302104655,59.24
"312140",34,-0.684676469010371,27.98
"312230",15,0.304054168913399,68.32
"313110",15,-0.711211571656606,25.66
"313210",26,-0.633301408561151,30.62
"313220",27,-0.58259500031765,32.63
"313230",35,-0.67282106819716,28.51
"313240",15,-0.738378847231366,24.08
"313310",32,-0.0846268385667367,54.38
"313320",31,-0.429980362012547,39.81
"314110",8,-0.580247228402667,32.73
"314120",36,-0.0776836094653736,54.49
"314910",68,-0.540336213047765,34.21
"314994",27,-0.23057867480021,49.1
"314999",61,-0.562433526725304,33.26
"315120",20,-0.6902520991034,27.46
"315210",22,-0.383517981241688,42.87
"315250",36,-0.335483918636901,44.14
"315990",39,0.198114267106194,64.31
"316110",32,-1.02180576147126,12.88
"316210",22,-0.137257126470409,52.69
"316990",42,-0.298478356865454,46.15
"321113",61,-0.873213169335361,18.59
"321114",40,-0.416120415928674,41.18
"321211",36,-0.933223387445044,16.05
"321212",11,1.00960174887453,83.95
"321215",74,-0.480623098308782,37.49
"321219",27,-0.422858266231479,40.65
"321911",39,-0.549385903825832,33.9
"321912",40,-1.18625097007034,7.39
"321918",57,-0.989993233122898,13.73
"321920",84,-1.41432215931862,2.85
"321991",24,-0.0701633318272917,55.02
"321992",44,-0.790517834384767,22.18
"321999",65,-1.18337775086813,7.71
"322110",14,-0.688525546596775,27.67
"322120",39,-0.869278276401793,18.69
"322130",35,-0.638086788742118,30.31
"322211",79,-1.27491418278494,5.6
"322212",48,-0.732121188203306,24.29
"322219",43,-0.984442701662433,14.04
"322220",53,-1.14562843370658,8.87
"322230",42,-0.829418583089047,20.7
"322291",31,-0.274104795894641,47.73
"322299",40,-1.34212848299534,4.22
"323111",63,-0.956870889024909,15.31
"323113",74,-0.787349832014664,22.39
"323117",33,-0.448522106595293,38.54
"323120",36,-0.463327660803708,38.23
"324110",27,0.249851038722537,66.31
"324121",64,-0.748300739046314,23.76
"324122",30,0.466271799509314,72.65
"324191",40,-0.802758635278771,21.86
"324199",26,-0.830078076212645,20.59
"325110",14,-0.637320469958542,30.41
"325120",48,-0.615115895204834,31.68
"325130",32,-0.781778739454637,22.7
"325180",48,-0.888157936683715,18.06
"325193",31,-1.56250057012513,0.74
"325194",18,-0.800751320725143,21.96
"325199",44,-0.663022451806689,29.25
"325211",47,-0.903506160628513,17.42
"325212",28,-0.321935901381145,44.77
"325220",23,-0.90635990189244,17.21
"325311",26,-0.816575568533217,21.12
"325312",15,-0.319952887424726,44.88
"325314",52,-0.425213112240471,40.44
"325315",23,1.1352670048976,86.69
"325320",33,-0.389367414292658,42.45
"325411",32,1.05636497673702,85.22
"325412",35,-0.0650677220611225,55.54
"325413",21,1.02144196128283,84.27
"325414",21,0.47681263594732,73.07
"325510",49,-1.10579970571068,10.56
"325520",38,-0.477253254062567,37.7
"325611",35,-1.40578622385358,3.17
"325612",36,-0.70957419841448,26.08
"325613",26,-0.45797042371266,38.33
"325620",35,0.0618539314095412,59.77
"325910",26,-0.715925761839864,25.13
"325920",21,-0.385565146505502,42.66
"325991",42,-1.02557197275277,12.46
"325992",16,-0.177248660717645,51.32
"325998",56,-0.750469129026854,23.65
"326111",44,-0.772993434900994,22.91
"326112",40,-1.21512271774894,6.86
"326113",48,-0.927000000712589,16.26
"326121",55,-0.986701837450707,13.94
"326122",51,-0.771288075170603,23.02
"326130",46,-0.535336384539485,34.53
"326140",36,-1.04843330416986,11.83
"326150",59,-0.795915009562117,22.07
"326160",52,-1.01582480869096,13.09
"326191",28,-0.493000199980372,36.85
"326199",73,-1.40653444282341,3.06
"326211",26,-1.30198470106238,5.07
"326212",35,-0.919607871671052,16.68
"326220",38,-0.997688812641249,13.52
"326291",41,-1.24119866191936,6.34
"326299",46,-0.712855999651783,25.45
"327110",56,-0.591285374113115,32.31
"327120",50,-0.977663766269021,14.15
"327211",27,-0.694167274616215,27.14
"327212",22,-0.227046916040551,49.52
"327213",24,0.296640178431036,68.22
"327215",53,-0.422540231412992,40.76
"327310",50,-0.265451882899869,48.05
"327320",101,-0.430873052061207,39.7
"327331",69,-0.306441397988497,45.62
"327332",45,0.0672155371408283,60.3
"327390",79,-0.306739971934086,45.51
"327410",24,-0.740705711805963,23.86
"327420",29,0.755893069787082,78.78
"327910",32,-0.630824755481628,30.94
"327991",77,-0.523562920053725,35.27
"327992",27,-1.23459213347492,6.55
"327993",38,-1.14359932236824,9.08
"327999",44,-0.133651707770735,52.9
"331110",37,-1.31096332753052,4.86
"331210",42,-1.38362907653391,3.48
"331221",47,-1.18556249542581,7.5
"331222",34,-1.02605754684933,12.35
"331313",19,-0.0520557747802902,56.07
"331314",24,-1.24537572995014,6.23
"331315",19,-1.22471511102827,6.65
"331318",34,-0.863380446043837,19.11
"331410",24,0.449565523697717,72.23
"331420",43,-1.14546154123682,8.98
"331491",28,-0.736643009069976,24.18
"331492",30,-0.527764013349527,35.06
"331511",46,-1.80237962027269,0.11
"331512",21,0.119522403981763,62.41
"331513",32,-0.906216144705891,17.32
